Homework_1,Homework_2,Homework_3,Homework_4,Homework_5,Homework_6,Homework_7,Homework_8,Homework_9,Homework_10,Homework_11,Homework_12,Homework_13,Homework_14,Quiz_2,Quiz_3,Quiz_4,Quiz_5,Quiz_6,Quiz_7,Quiz_8,Quiz_9,Quiz_10,Quiz_11,Exam_1,Exam_2,Exam_3,Final_Exam
15,15,14.65,15,14.75,15,15,15,15,15,15,14.5,15,15,10,10,6,5,10,9,10,10,9,10,40,32,49,62
15,15,15,15,15,15,15,12.95,15,15,15,15,15,15,10,10,10,9,10,10,10,9,10,10,47,49,44,62
15,15,15,15,15,15,15,15,14.88,15,15,13.75,15,14,9,10,10,6,9,10,10,10,10,10,50,37,43,62
15,15,15,,1,,15,,12.75,15,,15,15,15,9,10,8,10,10,0,10,10,0,10,54,28,43,62
15,15,15,13.94,15,15,15,13.6,15,15,13,14.5,15,14,10,10,10,10,10,9,10,10,10,10,49,52,42,62
15,15,15,15,14.88,15,14,14.5,14.76,14.38,14.33,15,7,15,10,8,10,10,10,10,10,10,10,10,49,49,40,62
15,15,15,14.61,14.88,15,6.4,15,15,14,14,14.5,15,15,9,7,9,10,9,10,10,8,8,10,50,24,40,62
15,15,15,15,14.88,14.5,14.5,11.25,13.71,12.83,14.47,13.58,5,14,10,10,10,10,10,10,10,6,8,9,44,36,38,62
15,15,15,14.89,14.75,14.88,14.5,15,15,15,15,15,15,0,10,10,10,10,10,9,9,9,10,,47,31,34,62
15,15,15,14.83,14.75,15,14.5,14.75,14.75,14.33,12,13.67,15,15,7,10,8,6,10,9,10,10,10,10,50,44,31,62
15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,7,3,3,9,10,10,10,9,9,43,38,29,62
15,14,15,15,15,15,15,15,15,15,15,15,15,15,10,10,8,10,6,10,9,10,10,7,52,46,28,62
15,15,14.5,13.67,15,15,14.5,15,15,15,15,14,15,15,6,4,7,9,10,8,10,10,6,10,45,50,21,62
2,15,,15,12.38,13.88,13.5,,,13.88,13,2,14.25,14,7,9,8,10,10,10,7,8,8,10,50,30,21,62
15,14.88,15,15,15,15,14.6,13.7,14.22,12.88,14.86,14.5,14.17,,5,10,6,7,10,9,10,10,10,10,42,27,7,62
15,14,15,14.28,15,15,2,14.25,15,6.75,8.6,14,8,10,10,6,10,10,5,9,6,7,2,10,48,52,52,61
15,15,15,15,15,15,15,15,15,15,15,15,15,,10,10,10,10,10,10,10,10,9,9,45,40,49,61
13.33,,15,,,14,13.8,11.92,14.54,10.33,13.24,,,,9,6,,8,9,9,9,7,9,7,52,42,47,61
15,15,15,15,15,14.5,14.3,2.5,14.83,14,11.57,13.75,15,6.67,10,9,10,10,8,10,10,10,7,,50,41,47,61
15,15,15,15,14.88,15,15,15,15,15,15,15,15,15,9,10,10,9,8,10,10,10,10,9,49,44,46,61
15,15,15,14.89,15,15,,0,15,15,,15,7,15,10,9,10,10,7,10,7,9,4,10,53,30,44,61
15,15,15,15,15,15,15,15,15,15,15,15,15,0,10,10,9,10,10,9,10,10,4,10,55,44,42,61
15,15,15,14.89,15,15,15,15,15,15,15,15,,,9,10,10,10,9,10,7,6,9,10,48,35,42,61
15,15,15,15,15,15,15,14.5,15,15,11.71,10.92,15,12,10,10,10,7,7,9,8,8,10,9,50,58,41,61
10.39,14.33,15,14.89,9.63,14.67,13.6,8.92,,13.83,,,,,10,9,10,10,10,9,9,9,10,7,42,31,41,61
15,14.75,15,14.5,14.75,14.88,15,14.25,14.32,15,14.69,14,14,14,10,9,10,10,9,10,10,10,10,10,52,44,37,61
,,13.5,6.5,9,14,13.9,15,15,15,15,15,14.5,15,6,4,8,10,6,7,8,3,3,9,46,36,36,61
14.89,15,15,15,15,15,15,15,15,15,15,14,15,15,7,9,9,10,7,7,9,10,6,7,45,20,36,61
15,15,15,15,15,15,15,15,15,2,15,,,,7,8,8,10,10,10,10,10,10,10,40,37,35,61
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,9,9,9,5,7,5,10,9,45,41,31,61
14.5,14.52,15,15,15,15,15,7.5,13.75,8.75,14.05,,14.75,,9,1,3,9,10,10,10,10,9,10,42,44,29,61
15,15,15,15,15,15,15,15,15,15,15,6,3,1,9,10,9,10,7,9,7,6,10,10,48,45,20,61
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,10,9,9,10,10,10,10,10,46,60,55,60
15,15,15,14.89,15,15,15,15,15,15,15,2,8,,7,10,7,10,10,10,10,10,9,10,46,39,51,60
15,15,14.5,15,14.88,15,14.8,13.67,0,14.5,14.33,14.83,15,15,7,7,6,10,10,10,10,10,10,10,44,43,49,60
15,15,15,15,15,15,15,15,15,15,11,13,15,,10,10,10,10,10,10,10,8,9,10,55,55,47,60
15,15,15,15,15,15,15,12.75,15,15,15,,,,8,9,10,10,7,7,10,9,8,9,50,40,46,60
15,15,15,14.89,15,15,14.6,14.75,14.27,14.33,11.21,13.67,15,2,10,10,10,10,7,10,10,8,7,10,40,49,44,60
15,15,15,15,14,14,13.9,14.1,13.53,14.75,13.13,13.67,14,6.67,7,9,6,10,9,7,9,8,7,8,51,30,44,60
15,14.88,15,15,15,15,15,13,8,14.5,12.07,11,,,10,10,10,10,10,10,10,10,10,4,57,40,43,60
15,15,15,15,15,15,15,15,15,15,15,15,15,,9,9,10,10,10,10,10,10,3,10,44,31,39,60
15,14.88,15,15,14.88,15,15,15,15,15,15,15,15,15,10,10,10,10,6,10,10,10,10,9,51,46,38,60
15,14.5,14,14.83,15,15,13.3,14.25,13.6,0,,,15,1,7,5,10,9,10,7,9,7,10,8,51,32,33,60
15,15,15,15,15,15,15,15,15,15,4,,15,0,8,10,9,10,10,5,9,10,9,10,44,41,31,60
14.89,15,14.9,6.86,13.42,13.83,14.05,13,12.39,0,14,11.08,14.75,15,10,5,10,10,10,10,10,10,5,10,52,30,28,60
15,14.86,15,15,15,15,15,15,14.88,15,15,14,0.33,,6,10,7,10,10,10,10,8,9,9,43,33,52,59
14.78,15,15,15,15,15,15,15,15,15,15,15,,,7,10,9,10,8,10,10,10,10,10,54,45,48,59
15,15,15,15,15,15,15,15,15,14.29,15,15,15,4,10,10,10,10,10,7,10,10,10,10,52,45,48,59
15,14.71,15,15,15,15,15,15,14.83,13.58,14.67,12.5,14.75,0,8,8,9,10,10,10,8,8,1,8,46,46,47,59
15,15,15,15,15,15,14.5,10.87,14.75,13.42,13.6,14,,,10,,10,8,10,10,9,9,7,4,49,30,46,59
14.39,14.86,15,14.17,13.75,14.25,14.1,12.22,11.75,8.08,5,13.33,14,2,10,8,10,9,9,10,10,9,3,10,51,39,44,59
15,15,15,15,15,15,14.5,15,14.83,15,15,13.25,15,15,10,9,10,10,8,10,10,10,10,10,50,50,41,59
13.5,14.36,14,14.78,12.63,9.38,3.5,8.17,13.09,,5.83,9,3.25,0,10,3,5,10,10,10,6,6,5,,46,31,41,59
15,13.67,15,,14.63,13.71,2,8.72,10.32,7.83,4.67,7.92,7,,8,4,1,10,5,10,9,6,5,10,45,47,39,59
15,15,14,14.17,13.63,15,6.45,10.58,11.03,10.75,15,15,15,4,10,10,10,9,10,6,8,3,7,9,44,28,36,59
15,15,15,15,15,15,14.5,13.5,14.5,15,15,4,15,,8,9,5,7,10,10,7,8,8,10,58,40,34,59
15,12,14,6,7.5,10,1,11.8,12.4,14.13,13,11,14,11,8,7,10,1,5,0,7,6,9,7,26,37,34,59
15,14.67,13.5,14.02,13.88,14.13,13.3,12.18,12.47,12.71,12.38,9,14,10,10,9,10,,9,9,10,10,10,10,48,34,34,59
13.89,13.5,14,13.78,14,13.63,11.55,14.22,13.07,10.83,12.86,14,13.5,9.67,5,4,10,10,8,5,6,10,8,8,41,52,33,59
15,15,15,15,15,15,15,,15,15,14.56,,15,,10,10,10,10,10,9,6,9,9,10,49,49,32,59
5.78,15,14,10,11.63,,7.1,7.4,9.27,7.67,9.63,13,12.75,4.67,2,9,9,10,9,10,6,9,10,10,33,15,31,59
9,15,13,13.89,13.58,14,14,4.97,14.36,6.75,4,,14,13,10,10,7,10,9,10,10,8,10,10,54,35,30,59
15,15,15,15,15,15,15,15,15,15,15,15,12,15,6,10,10,10,10,10,10,10,9,10,47,46,27,59
14.78,13.69,11.5,14.67,14.42,15,15,15,15,15,15,15,15,15,7,2,,10,8,9,10,10,10,9,46,26,27,59
14.89,13,14.32,14.67,15,15,4.1,14,15,12,13,13,12,15,9,10,8,10,5,9,6,4,9,7,47,35,24,59
15,15,15,15,15,15,,15,15,15,15,15,5,15,7,8,10,9,9,10,10,6,8,10,43,31,23,59
14.28,15,13,14.58,14.75,14.83,14.3,14.58,14.83,15,14,14.83,14.75,,7,9,9,10,6,8,9,3,10,10,52,48,50,58
14.33,14,12.42,13.17,4,14.21,7.1,,,,7,,,,5,9,10,10,6,10,7,8,8,8,55,49,49,58
15,15,15,14.72,14.88,15,14.5,14,15,14.75,6.71,11.5,15,14,10,9,9,9,10,7,9,8,10,10,50,44,47,58
15,15,14,14.36,14.75,14.58,14.8,14.42,13.64,15,10.86,,,,5,8,10,9,10,7,8,10,9,9,40,38,41,58
14.28,14.63,13,14.78,8.13,15,15,15,15,12,15,2,14.75,15,5,7,10,10,10,10,10,0,10,10,41,22,40,58
15,15,14.9,14.44,13.88,15,15,15,10.57,15,15,,14.5,15,8,5,8,10,10,8,8,8,6,10,47,31,39,58
14,15,14,9.22,14.88,15,14.1,13,13.88,13.08,15,15,15,15,6,7,10,8,10,10,10,10,9,10,35,29,39,58
15,15,15,15,14.88,15,15,15,15,15,12.86,,15,15,10,8,10,10,10,10,10,10,10,10,54,50,38,58
15,15,15,15,15,15,15,15,15,14.88,15,14,15,10,10,10,10,9,,10,10,8,8,10,47,40,37,58
15,15,15,14.67,14.75,14.88,14.8,15,5.9,10.75,11,12.5,12,,7,10,10,10,10,8,8,8,9,,43,44,29,58
0,14.42,0,12.39,3.5,13.96,11.4,5.13,12.13,,10.27,7.67,10.67,1.67,9,10,10,10,9,9,10,9,7,10,45,41,28,58
11.5,14,15,,14.17,3.88,13.35,12.33,14.13,14.71,10.38,12.17,13,13,10,6,8,10,6,7,8,7,7,0,41,37,24,58
15,15,15,15,15,15,15,15,15,15,15,15,15,4,7,10,10,10,10,10,9,7,10,10,55,43,52,57
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,9,9,8,10,6,10,5,9,52,47,48,57
15,15,15,15,15,15,15,15,15,15,15,15,15,15,7,10,10,8,10,10,9,10,9,10,53,42,48,57
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,9,10,10,10,9,9,5,10,9,42,49,45,57
14.78,14.67,15,14.28,15,14.5,14.8,6.5,14.33,15,15,15,2.75,0,10,10,9,10,10,10,10,6,9,10,54,52,40,57
14.28,14.67,15,15,14.88,14.88,14.3,14.5,13.75,14.83,14.67,13.67,15,15,10,9,10,10,10,7,8,7,7,8,45,37,40,57
15,15,15,14.56,13,14.71,14.3,13.33,14.36,13.33,13.13,13.83,14.75,14,10,10,7,9,10,10,10,9,8,10,45,33,40,57
15,15,15,15,14.88,15,15,10.75,14.6,13.58,14,11.67,9,11,5,6,10,10,8,8,6,9,10,10,48,32,39,57
